Tickers;CNPJ;Razão social
PSSA3;02.149.205/0001-69;PORTO SEGURO SA
UPKP3B;02.162.616/0001-94;UPTICK PARTICIPACOES SA
GPCP3, GPCP4;02.193.750/0001-52;GPC PARTICIPACOES SA
ALEF3B;02.217.319/0001-07;ALEF SA
PRMN3B;02.291.077/0001-93;PRODUTORES ENERGETICOS DE MANSO SA
EMAE3, EMAE4;02.302.101/0001-42;EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A
OPHE3B;02.318.346/0001-68;OPPORTUNITY ENERGIA E PARTICIPAÇÕES S.A.
EKTR3, EKTR4;02.328.280/0001-97;ELEKTRO REDES S.A.
TGMA3;02.351.144/0001-18;TEGMA GESTÃO LOGÍSTICA SA
LWSA3;02.351.877/0001-52;LOCAWEB SERVIÇOS DE INTERNET S.A.
LMED3;02.357.251/0001-53;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.
IDNT3;02.365.069/0001-44;IDEIASNET SA
RAIL3;02.387.241/0001-60;RUMO S.A.
CPFE3;02.429.144/0001-93;CPFL ENERGIA SA
EGIE3;02.474.103/0001-19;ENGIE BRASIL ENERGIA S.A.
TIMP3;02.558.115/0001-21;TIM PARTICIPAÇÕES SA
VIVT3, VIVT4;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.
CPTP3B;02.591.787/0001-39;CAPITALPART PARTICIPAÇÕES SA
SLCT3B;02.604.860/0001-60;INNCORP S.A.
MNZC3B;02.664.042/0001-52;TERMINAL GARAGEM MENEZES CORTES SA
MMXM11, MMXM3;02.762.115/0001-49;MMX MINERAÇÃO E METÁLICOS S.A. – EM RECUPERAÇÃO JUDICIAL
STBP3;02.762.121/0001-04;SANTOS BRASIL PARTICIPAÇÕES S.A.
BETP3B;02.762.124/0001-30;BETAPART PARTICIPAÇÕES SA
OPGM3B;02.796.775/0001-40;GAMA PARTICIPAÇÕES S.A.
COGN3;02.800.026/0001-40;KROTON EDUCACIONAL S.A.
CCRO3;02.846.056/0001-97;CCR S.A.
SHOW3;02.860.694/0001-62;T4F ENTRETENIMENTO SA
JBSS3;02.916.265/0001-60;JBS SA
HYPE3;02.932.074/0001-91;HYPERA S/A
PDGR3;02.950.811/0001-89;PDG REALTY SA EMPREENDIMENTOS E PARTS – EM RECUPERAÇÃO JUDICIAL
PRPT3B;02.992.449/0001-09;PROMPT PARTICIPAÇÕES S.A.
GEPA3, GEPA4;02.998.301/0001-81;RIO PARANAPANEMA ENERGIA SA
TRPL3, TRPL4;02.998.611/0001-04;CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA
TPIS3;03.014.553/0001-91;TPI – TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.
EQTL3;03.220.438/0001-73;EQUATORIAL ENERGIA S/A
DTCY3, DTCY4;03.303.999/0001-36;DTCOM – DIRECT TO COMPANY S.A.
LIGT3;03.378.521/0001-75;LIGHT SA
ENMT3, ENMT4;03.467.321/0001-99;ENERGISA MATO GROSSO – DISTRIBUIDORA DE ENERGIA S.A.
IVPR3B, IVPR4B;03.758.318/0001-24;INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR
BSCS-CRIT2B0, BSCS-CRIT3B0;03.767.538/0001-14;BRAZILIAN SECURITIES CIA SECURITIZAÇÃO
BRAP3, BRAP4;03.847.461/0001-92;BRADESPAR S/A
MRFG3;03.853.896/0001-40;MARFRIG GLOBAL FOODS SA
ENBR3;03.983.431/0001-03;EDP ENERGIAS DO BRASIL S/A
CABI3B;04.030.182/0001-02;CABINDA PARTICIPAÇÕES SA
CACO3B;04.031.213/0001-31;CACONDE PARTICIPAÇÕES SA
LIQO3;04.032.433/0001-80;LIQ PARTICIPAÇÕES S.A.
CAIA3B;04.038.763/0001-82;CAIANDA PARTICIPAÇÕES SA
SQIA3;04.065.791/0001-99;SINQIA S.A.
TIET11, TIET3, TIET4;04.128.563/0001-10;AES TIETÊ ENERGIA S.A
ECOR3;04.149.454/0001-80;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.
ENEV3;04.423.567/0001-21;ENEVA S.A.
BIOM11, BIOM3;04.752.991/0001-10;BIOMM SA
FRIO3;04.821.041/0001-08;METALFRIO SOLUTIONS S/A
EQPA3, EQPA5, EQPA6, EQPA7;04.895.728/0001-80;CENTRAIS ELÉTRICAS DO PARÁ S.A. – CELPA
BAZA3;04.902.979/0001-44;BANCO DA AMAZÔNIA S.A.
BPAR3;04.913.711/0001-08;BANCO DO ESTADO DO PARÁ S/A.
SEER3;04.986.320/0001-13;SER EDUCACIONAL S.A.
HAPV3;05.197.443/0001-38;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.
LTLA3B;05.495.546/0001-84;LITELA PARTICIPAÇÕES S.A.
SMLS3;05.730.375/0001-20;SMILES FIDELIDADE S.A.
TESA12, TESA3;05.799.312/0001-20;TERRA SANTA AGRO S.A.
ALSO3;05.878.397/0001-32;ALIANSCE SONAE SHOPPING CENTERS S.A.
WTVR-CRI11B0;06.137.677/0001-52;BRPR 56 SECURITZADORA CRED IMOB SA
GOLL11, GOLL12, GOLL4;06.164.253/0001-87;GOL LINHAS AEREAS INTELIGENTES SA
EQMA3B, EQMA5B, EQMA6B;06.272.793/0001-84;COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR
LINX3;06.948.969/0001-75;LINX S.A.
BRML3;06.977.745/0001-91;BR MALLS PARTICIPAÇOES S.A.
BRPR3;06.977.751/0001-49;BR PROPERTIES S.A.
CTCA3;06.981.381/0001-13;CTC – CENTRO DE TECNOLOGIA CANAVIEIRA S.A.
COCE3, COCE5, COCE6;07.047.251/0001-70;CIA ENERG CEARA – COELCE
BZRS-CRI11B0;07.119.838/0001-48;BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS
MDIA3;07.206.816/0001-15;M DIAS BRANCO SA IND E COM DE ALIMENTOS
BNBR3;07.237.373/0001-20;BANCO DO NORDESTE DO BRASIL SA
CNSY3;07.437.016/0001-05;CINESYSTEM S.A.
ABEV3;07.526.557/0001-00;AMBEV S.A.
SMFT3;07.594.978/0001-78;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
AGRO3;07.628.528/0001-59;BRASILAGRO CIA BRAS DE PROP AGRICOLAS
EMBR3;07.689.002/0001-89;EMBRAER S.A.
SGPS3;07.718.269/0001-57;SPRINGS GLOBAL PARTICIPAÇÕES S/A
MULT3;07.816.890/0001-53;MULTIPLAN EMP. IMOBILIARIOS S/A
CRDE3;07.820.907/0001-46;CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A
TAEE11, TAEE3, TAEE4;07.859.971/0001-30;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
MTRE3;07.882.930/0001-65;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
CCXC3;07.950.674/0001-04;CCX CARVÃO DA COLOMBIA S.A.
TCSA3;08.065.557/0001-12;TECNISA S/A
LPSB3;08.078.847/0001-09;LPS BRASIL CONSULTORIA DE IMOVEIS S/A
IGSN3;08.159.965/0001-33;IGUA SANEAMENTO S.A.
JHSF3;08.294.224/0001-65;JHSF PARTICIPAÇÕES SA
EZTC3;08.312.229/0001-73;EZ TEC EMPREEND. E PARTICIPAÇÕES S/A
CSRN3, CSRN5, CSRN6;08.324.196/0001-81;CIA ENERGÉTICA DO RIO GRANDE DO NORTE
MRVE3;08.343.492/0001-20;MRV ENGENHARIA E PARTICIPAÇÕES S/A
ALUP11, ALUP3, ALUP4;08.364.948/0001-38;ALUPAR INVESTIMENTO S/A
GUAR3;08.402.943/0001-52;GUARARAPES CONFECÇÕES SA
CPRE3;08.439.659/0001-50;CPFL ENERGIAS RENOVÁVEIS S.A.
CEED3, CEED4;08.467.115/0001-00;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA
RNEW11, RNEW3, RNEW4;08.534.605/0001-74;RENOVA ENERGIA S/A
GPAR3;08.560.444/0001-93;COMPANHIA CELG DE PARTICIPAÇÕES
PTCA11, PTCA3;08.574.411/0001-00;PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.
BBRK3;08.613.550/0001-98;BRASIL BROKERS PARTICIPAÇÕES SA
BRCS-CRI1AB0;08.653.753/0001-08;BRC SECURITIZADORA SA
GSHP3;08.764.621/0001-53;GENERAL SHOPPING E OUTLETS DO BRASIL S.A.
MSRO3;08.795.211/0001-70;MAESTRO LOCADORA DE VEÍCULOS S.A.
CCPR3;08.801.621/0001-86;CYRELA COMMERCIAL PROPERTIES SA EMP  PART
YDUQ3;08.807.432/0001-10;ESTACIO PARTICIPAÇÕES SA
TRIS3;08.811.643/0001-27;TRISUL S/A
DMMO11, DMMO3;08.926.302/0001-05;DOMMO ENERGIA S.A.
LOGG3;09.041.168/0001-10;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.
OSXB3;09.112.685/0001-32;OSX BRASIL S.A. – EM RECUPERAÇÃO JUDICIAL
OMGE3;09.149.503/0001-06;OMEGA GERAÇÃO S.A.
ANIM3;09.288.252/0001-32;ANIMA HOLDING S/A
TECN3;09.295.063/0001-97;TECHNOS SA
AZUL4;09.305.994/0001-29;AZUL S.A.
B3SA3;09.346.601/0001-25;B3 S.A. – BRASIL, BOLSA, BALCÃO
PDGS-CRI15B0;09.538.973/0001-53;PDG COMPANHIA SECURITIZADORA – EM RECUPERAÇÃO JUDICIAL
INNT3;09.611.768/0001-76;INTER CONSTRUTORA E INCORPORADORA S.A
LCAM3;10.215.988/0001-60;COMPANHIA DE LOCAÇÃO DAS AMERICAS
AFLT3;10.338.320/0001-00;AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A
ADHM1, ADHM3;10.345.009/0001-98;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
PRIO3;10.629.105/0001-68;PETRO RIO S.A.
CVCB3;10.760.260/0001-19;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA
CEPE3, CEPE5, CEPE6;10.835.932/0001-08;CIA ENERGÉTICA DE PERNAMBUCO – CELPE
FLEX3;10.851.805/0001-00;FLEX GESTÃO DE RELACIONAMENTO S.A.
BPHA3;11.395.624/0001-71;BRASIL PHARMA SA – EM RECUPERAÇÃO JUDICIAL
ENAT3;11.669.021/0001-10;ENAUTA PARTICIPAÇÕES S.A.
APER3;11.721.921/0001-60;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
QUAL3;11.992.680/0001-93;QUALICORP SA
MDNE3;12.049.631/0001-84;MOURA DUBEUX ENGENHARIA S/A
APCS-CRI05B0;12.130.744/0001-00;TRUE SECURITIZADORA S.A.
PLSC-CRI1CB0;12.261.588/0001-16;POLO CAPITAL SECURITIZADORA S/A
BGIP3, BGIP4;13.009.717/0001-46;BANCO DO ESTADO DE SERGIPE SA
CNTO3;13.217.485/0001-11;GRUPO SBF S.A.
BKBR3;13.574.594/0001-96;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.
ELEK3, ELEK4;13.788.120/0001-47;ELEKEIROZ S/A
SNSY3, SNSY5, SNSY6;14.807.945/0001-24;SANSUY SA INDÚSTRIA  DE PLASTICOS
GAFL-CRA02B0;14.876.090/0001-93;GAIA AGRO SECURITIZADORA S.A.
CORR3, CORR4;15.101.405/0001-93;CORREA RIBEIRO SA COM IND
CRPG3, CRPG5, CRPG6;15.115.504/0001-24;TRONOX PIGMENTOS DO BRASIL S.A.
CEEB3, CEEB5, CEEB6;15.139.629/0001-94;CIA ELETRICIDADE DA BAHIA
FESA3, FESA4;15.141.799/0001-03;CIA FERRO LIGAS BAHIA FERBASA
CSAB3, CSAB4;15.144.017/0001-90;CIA SEGUROS ALIANCA BAHIA
BSEV3;15.527.906/0001-36;BIOSEV S.A.
SUZB3;16.404.287/0001-55;SUZANO S.A.
ARZZ3;16.590.234/0001-76;AREZZO INDÚSTRIA E COMERCIO S/A
DIRR3;16.614.075/0001-00;DIRECIONAL ENGENHARIA SA
RENT3;16.670.085/0001-55;LOCALIZA RENT A CAR SA
CMIG3, CMIG4;17.155.730/0001-64;CIA ENERG MINAS GERAIS – CEMIG
MMAQ3, MMAQ4;17.161.241/0001-15;MINASMAQUINAS SA
MEND3, MEND5;17.162.082/0001-73;MENDES JUNIOR ENGENHARIA SA
RPAD3, RPAD5, RPAD6;17.167.396/0001-69;ALFA HOLDINGS SA
CRIV3, CRIV4;17.167.412/0001-13;FINANCEIRA ALFA S.A.- C.F.I
BMEB3, BMEB4;17.184.037/0001-10;BANCO MERCANTIL BRASIL SA
BRGE11, BRGE12, BRGE3, BRGE5, BRGE6, BRGE7, BRGE8;17.193.806/0001-46;CONSORCIO ALFA DE ADMINISTRAÇÃO SA
CEDO3, CEDO4;17.245.234/0001-00;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA
CSMG3;17.281.106/0001-03;COMPANHIA DE SANEAMENTO DE MINAS GERAIS
MEAL3;17.314.329/0001-20;INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.
BBSE3;17.344.597/0001-94;BB SEGURIDADE PARTICIPAÇÕES S.A.
RLOG3;17.346.997/0001-39;COSAN LOGÍSTICA S.A.
PSVM11;18.494.485/0001-82;PORTO SUDESTE V.M. S.A.
PRNR3;18.593.815/0001-97;PRINER SERVIÇOS INDUSTRIAIS S.A.
PARD3;19.378.769/0001-76;INSTITUTO HERMES PARDINI S/A
CATA3, CATA4;19.526.748/0001-50;COMPANHIA INDUSTRIAL CATAGUASES
GNDI3;19.853.511/0001-84;NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.
OFSA3;20.258.278/0001-70;OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.
CTSA3, CTSA4, CTSA8;21.255.567/0001-89;CIA TECIDOS SANTANENSE
MOVI3;21.314.559/0001-66;MOVIDA PARTICIPAÇÕES S.A.
FHER3;22.266.175/0001-88;FERTILIZANTES HERINGER S.A. – EM RECUPERAÇÃO JUDICIAL
CTNM3, CTNM4;22.677.520/0001-76;CIA TECIDOS NORTE DE MINAS – COTEMINAS
FRRN3B, FRRN5B, FRRN6B;24.962.466/0001-36;RUMO MALHA NORTE S.A.
MILS3;27.093.558/0001-15;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A
BEES3, BEES4;28.127.603/0001-78;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO
ABCB4;28.195.667/0001-06;BANCO ABC BRASIL S/A
SCAR3;29.780.061/0001-09;SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A
NRTQ3;29.950.060/0001-57;NORTEC QUIMICA S.A.
SULA11, SULA3, SULA4;29.978.814/0001-87;SUL AMERICA S/A
BPAC11, BPAC3, BPAC5;30.306.294/0001-45;BANCO BTG PACTUAL S/A
HAGA3, HAGA4;30.540.991/0001-66;HAGA S.A. INDÚSTRIA E COMÉRCIO
NTCO3;32.785.497/0001-97;NATURA & CO HOLDING S.A.
PETR3, PETR4;33.000.167/0001-01;PETRÓLEO BRASILEIRO  S.A.  – PETROBRAS
LAME10, LAME3, LAME4;33.014.556/0001-96;LOJAS AMERICANAS SA
FCAP3, FCAP4;33.017.039/0001-70;MASSA FALIDA DE SAM INDUSTRIAS SA
JFEN3;33.035.536/0001-00;JOAO FORTES ENGENHARIA SA
MERC3, MERC4;33.040.601/0001-87;MERCANTIL DO BR FINC SA CFI
VVAR3;33.041.260/0652-90;VIA VAREJO S.A.
CSNA3;33.042.730/0001-04;CIA SIDERURGICA NACIONAL
CBEE3;33.050.071/0001-58;AMPLA ENERGIA E SERVIÇOS S.A.
MOAR3;33.102.476/0001-92;MONTEIRO ARANHA SA
TCNO3, TCNO4;33.111.246/0001-90;TECNOSOLO S/A – EM RECUPERAÇÃO JUDICIAL
VLID3;33.113.309/0001-47;VALID SOLUÇÕES E SERVIÇOS DE SEGURANÇA EM MEIOS DE PAGAMENTO E IDENTIFICAÇÃO S.A.
HOOT3, HOOT4;33.200.049/0001-47;HOTEIS OTHON SA
WLMM3, WLMM4;33.228.024/0001-51;WLM INDÚSTRIA E COMÉRCIO S.A.
UGPA3;33.256.439/0001-39;ULTRAPAR PARTICIPAÇÕES SA
IRBR3;33.376.989/0001-91;IRB – BRASIL RESSEGUROS S.A.
SOND3, SOND5, SOND6;33.386.210/0001-19;SONDOTECNICA ENGENHARIA DE SOLOS S/A.
RPMG3;33.412.081/0001-96;REFINARIA PET MANGUINHOS SA
TKNO3, TKNO4;33.467.572/0001-34;TEKNO S.A. INDÚSTRIA E COMÉRCIO
VALE3;33.592.510/0001-54;VALE S.A.
GGBR3, GGBR4;33.611.500/0001-19;GERDAU S.A.
VIVA3;33.839.910/0001-11;VIVARA PARTICIPAÇÕES S.A.
CEGR3;33.938.119/0001-69;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO
UNIP3, UNIP5, UNIP6;33.958.695/0001-78;UNIPAR CARBOCLORO S.A.
BMIN3, BMIN4;34.169.557/0001-72;BANCO MERCANTIL DE INVESTIMENTOS S.A.
BRDT3;34.274.233/0001-02;PETROBRAS DISTRIBUIDORA SA
QUSW3;35.791.391/0001-94;QUALITY SOFTWARE S.A.
BRQB3;36.542.025/0001-64;BRQ SOLUÇÕES EM INFORMÁTICA S.A.
BRKM3, BRKM5, BRKM6;42.150.391/0001-70;BRASKEM S.A.
LOGN3;42.278.291/0001-24;LOG-IN LOGISTICA INTERMODAL SA
WIZS3;42.278.473/0001-03;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.
BTTL3;42.331.462/0001-31;BATTISTELLA ADM E PARTICIPAÇÕES S A
AALR3;42.771.949/0001-35;CENTRO DE IMAGEM DIAGNÓSTICOS S.A.
IGBR3;43.185.362/0001-07;IGB ELETRÔNICA S.A. – EM RECUPERAÇÃO JUDICIAL
EVEN3;43.470.988/0001-65;EVEN CONSTRUTORA E INCORPORADORA S/A
SBSP3;43.776.517/0001-80;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO
CEAB3;45.242.914/0001-05;C&A MODAS S.A.
PFRM3;45.453.214/0001-51;PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS
BAHI3;45.987.245/0001-92;BAHEMA EDUCACAO S.A.
PCAR3, PCAR4;47.508.411/0001-56;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO
MGLU3;47.960.950/0001-21;MAGAZINE LUIZA SA
HBOR3;49.263.189/0001-02;HELBOR EMPREENDIMENTOS S/A
LLIS3;49.669.856/0001-43;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS SA
BOBR3, BOBR4;50.564.053/0001-03;BOMBRIL SA
CSAN3;50.746.577/0001-15;COSAN S.A.
VULC3;50.926.955/0001-42;VULCABRAS|AZALEIA S.A.
NUTR3;51.128.999/0001-90;NUTRIPLANT INDUSTRIA E COMÉRCIO S/A
IGTA3;51.218.147/0001-93;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A
SMTO3;51.466.860/0001-56;SÃO MARTINHO SA
PLAS11, PLAS3;51.928.174/0001-50;PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A
JSLG3;52.548.435/0001-79;JSL S.A.
TOTS3;53.113.791/0001-22;TOTVS S.A
EUCA3, EUCA4;56.643.018/0001-66;EUCATEX SA IND E COMERCIO
ROMI3;56.720.428/0001-63;INDÚSTRIAS ROMI S.A.
BMKS3;56.992.423/0001-90;BICICLETAS MONARK SA
ODPV3;58.119.199/0001-51;ODONTOPREV S/A
WHRL3, WHRL4;59.105.999/0001-86;WHIRLPOOL S.A
BPAN4;59.285.411/0001-13;BANCO PAN SA
PPAR3;59.789.545/0001-71;POLPAR S.A.
PMAM3;60.398.369/0004-79;PARANAPANEMA SA
LEVE3;60.476.884/0001-87;MAHLE METAL LEVE S.A.
SLED11, SLED3, SLED4;60.500.139/0001-26;SARAIVA SA LIVREIROS EDITORES
JPSA3;60.543.816/0001-93;JEREISSATI PARTICIPAÇÕES S/A
JBDU3, JBDU4;60.637.238/0001-54;INDS J B DUARTE SA
NEMO3, NEMO5, NEMO6;60.651.809/0001-05;SUZANO HOLDING S.A.
MSPA3, MSPA4;60.730.348/0001-66;COMPANHIA  MELHORAMENTOS DE SÃO PAULO
BBDC3, BBDC4;60.746.948/0001-12;BANCO BRADESCO S.A.
BRIV3, BRIV4;60.770.336/0001-65;BANCO ALFA DE INVESTIMENTO SA
FLRY3;60.840.055/0001-31;FLEURY SA
BDLL3, BDLL4;60.851.615/0001-53;BARDELLA SA INDS MECANICAS
ITUB3, ITUB4;60.872.504/0001-23;ITAÚ UNIBANCO HOLDING S.A.
NORD3;60.884.319/0001-59;NORDON INDS METALURGICAS SA
USIM3, USIM5, USIM6;60.894.730/0001-05;USINAS SIDERURGICAS DE MINAS GERAIS SA
CESP3, CESP5, CESP6;60.933.603/0001-78;CESP – COMPANHIA ENERGÉTICA DE SÃO PAULO
CALI3, CALI4;61.022.042/0001-18;CONST ADOLPHO LINDENBERG SA
IDVL3, IDVL4;61.024.352/0001-71;BANCO INDUSVAL S.A.
MGEL3, MGEL4;61.065.298/0001-02;MANGELS INDUSTRIAL S.A.
RSID3;61.065.751/0001-80;ROSSI RESIDENCIAL SA
NAFG3, NAFG4;61.067.161/0001-97;NADIR FIGUEIREDO IND E COM SA
ALPA3, ALPA4;61.079.117/0001-05;ALPARGATAS SA
ESTR3, ESTR4;61.082.004/0001-50;MANUFATURA DE  BRINQUEDOS ESTRELA SA
CAMB3;61.088.894/0001-08;CAMBUCI SA
ETER3;61.092.037/0001-81;ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL
MYPK3;61.156.113/0001-75;IOCHPE-MAXION SA
APTI3, APTI4;61.156.931/0001-78;SIDERURGICA J L ALIPERTI SA
BMGB4;61.186.680/0001-74;BANCO BMG S/A
AMAR3;61.189.288/0001-89;MARISA LOJAS SA
AZEV3;61.351.532/0001-68;AZEVEDO & TRAVASSOS SA
BALM3, BALM4;61.374.161/0001-30;BAUMER SA
DASA3;61.486.650/0001-83;DIAGNOSTICOS DA AMERICA SA
ITSA3, ITSA4;61.532.644/0001-15;ITAÚSA – INVESTIMENTOS ITAÚ S.A.
REDE3;61.584.140/0001-49;REDE ENERGIA PARTICIPAÇÕES S.A.
RADL3;61.585.865/0001-51;RAIA DROGASIL S.A.
CGAS3, CGAS5;61.856.571/0001-17;COMPANHIA DE GÁS DE SÃO PAULO – COMGÁS
AHEB1, AHEB11, AHEB13, AHEB3, AHEB5, AHEB6;62.002.886/0001-60;SÃO PAULO TURISMO S. A.
PINE3, PINE4;62.144.175/0001-20;BANCO PINE S/A
CAML3;64.904.295/0001-03;CAMIL ALIMENTOS S/A
RDNI3;67.010.660/0001-24;RNI NEGÓCIOS IMOBILIÁRIOS S.A.
VIVR3;67.571.414/0001-41;VIVER INCORP. E CONSTRUTORA S.A.- EM RECUPERAÇÃO JUDICIAL
BEEF11, BEEF3;67.620.377/0001-14;MINERVA S/A
TEND3;71.476.527/0001-35;CONSTRUTORA TENDA S/A
CYRE3;73.178.600/0001-18;CYRELA BRAZIL REALTY SA EMPRS E PARTS
CRFB3;75.315.333/0001-09;ATACADÃO S.A.
CPLE3, CPLE5, CPLE6;76.483.817/0001-20;COMPANHIA PARANAENSE DE ENERGIA
SAPR11, SAPR3, SAPR4;76.484.013/0001-45;CIA. DE SANEAMENTO DO PARANÁ – SANEPAR
OIBR3, OIBR4;76.535.764/0001-43;OI S.A. – EM RECUPERAÇÃO JUDICIAL
INEP3, INEP4;76.627.504/0001-06;INEPAR SA IND E CONSTRUÇÕES – EM RECUPERAÇÃO JUDICIAL
HGTX3;78.876.950/0001-71;CIA HERING
MTIG3, MTIG4;80.227.184/0001-66;METALGRAFICA IGUACU SA
POSI3;81.243.735/0001-48;POSITIVO TECNOLOGIA S.A.
CASN3, CASN4;82.508.433/0001-17;CIA CAT. DE ÁGUAS E SANEAMENTO – CASAN
TEKA3, TEKA4;82.636.986/0001-55;TEKA TECELAGEM KUEHNRICH SA – EM RECUPERAÇÃO JUDICIAL
CTKA3, CTKA4;82.640.558/0001-04;KARSTEN SA
EALT3, EALT4;82.643.537/0001-34;ELECTRO AÇO ALTONA S/A
TXRX3;82.982.075/0001-80;TÊXTIL RENAUXVIEW S/A
PTBL3;83.475.913/0001-91;PBG S/A
CLSC3, CLSC4;83.878.892/0001-55;CENTRAIS ELETRICAS DE SANTA CATARINA S.A
WEGE3;84.429.695/0001-11;WEG SA
TUPY3;84.683.374/0001-49;TUPY SA
DOHL3, DOHL4;84.683.408/0001-03;DOHLER S.A.
MWET3, MWET4;84.683.671/0001-94;WETZEL S.A. EM RECUPERAÇÃO JUDICIAL
SHUL3, SHUL4;84.693.183/0001-68;SCHULZ SA
RSUL3, RSUL4;85.778.074/0001-06;METALURGICA RIOSULENSE SA
MTSA3, MTSA4;86.375.425/0001-09;METISA METALÚRGICA  TIMBOENSE SA
FRTA3;86.550.951/0001-50;POMIFRUTAS S/A – EM RECUPERAÇÃO JUDICIAL
JOPA3, JOPA4;87.456.562/0001-22;JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP
HBTS3, HBTS5, HBTS6;87.762.563/0001-03;COMPANHIIA HABITASUL DE PARTICIPAÇÕES
FRAS3;88.610.126/0001-29;FRAS-LE SA
